channel_code,customer_id,day_since_last_trx,count_trx,net_sales,count_site_activity,count_email_received,count_email_opened,count_content_clicked,count_product_viewed,count_email_opened_clicked,count_coupon_received,count_campaign_spam_marked,count_campaign_unsubscribed,count_chat_delivered,count_soft_bounced,count_hard_bounced
PlanetSports.Asia,a9432e45e76e86925babc3974b4ed4ec740bc0dc1a990633fc4eb441cbf74287,343,1,"Rp71,622",4,27,3,2,1,3,0,0,0,0,0,0
PlanetSports.Asia,68c4131af7dddb0932b00e460545722eeb75bbf41b3ad641b83c06d9733183c4,60,1,"Rp71,622",0,14,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,056f9cd9969d523569887d70471b876874c72bc3ece418cd61398b850f55cdd2,96,1,"Rp71,622",0,11,19,0,0,19,2,0,0,0,0,0
PlanetSports.Asia,a8264442ced79285652d0eba213d11466b5e8f948370562197bf0e5b258ca2cd,73,1,"Rp71,622",0,17,1,0,0,1,1,0,0,0,0,0
PlanetSports.Asia,0777036339d66cd69ea7afbf3a8d20bc6578eedd33e2b1c27dad2480a716f96d,71,1,"Rp71,622",0,3,0,0,0,0,1,0,0,0,0,0
PlanetSports.Asia,6fc4ca6eff37006d12e047ac463d86cdd2475e6f8103694f66663850bfb19d8b,93,1,"Rp71,622",0,23,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,07793af49456ecc961287e64d41d315b91f8878e3ff0bd8750d1483121c8d3f1,83,1,"Rp71,622",0,11,0,0,0,0,2,0,0,0,0,0
PlanetSports.Asia,f8dffca87fc3dadb0ff7a9b92dcce96206a5bdc52f00b87700a255a6b2339065,76,1,"Rp71,622",0,0,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,f68fe9631f603cb6e0521717b11ae41e237c20e2319f6c7e6eebaf3389c593fa,55,1,"Rp71,622",0,4,0,0,0,0,0,0,0,0,1,0
PlanetSports.Asia,7e301d97ffaf7df9746c53617021270437ef1327015d08619678cd1c71e17ffe,90,1,"Rp71,622",0,30,19,0,0,19,0,0,0,0,0,0
PlanetSports.Asia,49f01cf86eec9179d4852e0739008d8ecb22f730f307eaf1aa9a1e4782272020,56,1,"Rp71,622",0,14,12,0,0,12,2,0,2,0,0,0
PlanetSports.Asia,368e453b6e7b9c5bbd2a7e3de3691956b73d6859beaa3fcb99df9659d41725a2,66,1,"Rp71,622",0,31,1,0,0,1,1,0,0,0,0,0
PlanetSports.Asia,6953fd2ad1db13b0fecca6373091b1464dc75d542128b19c691acd98a069c4c8,90,1,"Rp71,622",0,8,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,c7dd386a5f20737fe2095ce53dd5872d607f663dd6dda9f8444a858d54cea656,85,1,"Rp71,622",0,4,1,0,0,1,2,0,0,0,0,0
PlanetSports.Asia,b760b93e219e3edffc0bf30e18c4317ebc0e93033c8ac805c9f67169c3e9a744,170,1,"Rp72,879",0,14,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,d290b20da31c102818959d562102f5e9a7d635a8896ece42828162957d2acbd3,151,1,"Rp73,216",0,20,0,0,0,0,2,0,0,0,0,0
PlanetSports.Asia,1953df934c46a5490d8582802b4dddafa1bc9063bb4daa6bee2ad3bcd65baadd,240,1,"Rp75,045",6,20,26,8,19,34,0,0,7,0,0,0
PlanetSports.Asia,ff5af5f6f4a948d04d3e86df4a6484fca385b814fdbdcfa10802ae3f334d945f,227,1,"Rp75,676",0,23,0,0,0,0,1,0,0,0,0,0
PlanetSports.Asia,81e8dd266d7f9d20e308bb69975f687dab1e50da4131363a2e9ccca9a7f12458,227,1,"Rp75,676",0,30,1,0,0,1,1,0,0,0,0,0
PlanetSports.Asia,589bc769894d833266c3711200df1a1e5ce524bf7531a4726e34163136fd501a,171,1,"Rp77,305",0,12,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,04ba2b208c53837e4c3c205f20c45a172a136a20751a1879f26efc1f27253f33,170,1,"Rp78,883",0,13,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,caacbaf8f18d788f59236246be6f7416b5b52129d52f8c7fa85738711a8b1897,297,1,"Rp78,892",3,30,2,0,0,2,0,0,0,0,0,0
PlanetSports.Asia,77c989be02e602c26e6d755908843cb844e391980357ef933e92df609f26ee3f,338,1,"Rp80,631",2,28,29,0,0,29,0,0,1,0,0,0
PlanetSports.Asia,6cca3e920ded0d4c792a17eddc4583a10870dc1cd3ee4990586dd0411cc2058d,83,1,"Rp80,631",0,26,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,333c533383a46dcbd03b1e3cf4c36aafcfa6526db5338e0f63dc30d3c3d85779,147,1,"Rp80,676",0,14,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,d392efcb458e201ba4b04dd06c568c3f7f4597ab1aaf9e19f5f060d9728fea5d,156,1,"Rp80,676",0,24,25,0,0,25,0,0,0,0,0,0
PlanetSports.Asia,330396aea0d7c856d26e1c9dc5a9b902080ccec1bc0a62a67a3c623813bf8a79,172,1,"Rp80,676",28,40,5,3,32,5,1,0,0,0,0,0
PlanetSports.Asia,bf1472249fe0124dbe930d93768a86cba25e5b504f3a634a7cec622b1a864036,158,1,"Rp80,676",0,0,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,7d0d4f72934ad1c1745931ad4336423be4ed29f0106e6b316113cd1dd6e7a63b,93,1,"Rp81,081",0,2,0,0,0,0,1,0,0,0,0,0
PlanetSports.Asia,3d55d0207d6726296f3515dfdca2cc1d2cb7a2aa60713b2a5cabe306d1b820e1,94,1,"Rp81,081",0,7,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,ffd70ba86c8c4f06ad93c4f08f8e2eb6a399fc8929a924ba1c4b1c44138ecd8a,122,1,"Rp81,351",0,12,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,4a4ea74890556cc48d094eef45f932efbcf7da81ef1859b12d2bac42dffecfdb,305,1,"Rp81,351",0,27,14,0,0,14,0,0,0,0,0,0
PlanetSports.Asia,dde4cd730d24bc0c9178ea9e4d02ed2b20eb6c199f2518c107de9e1d68e139be,168,1,"Rp81,351",0,9,0,0,0,0,0,0,0,0,1,0
PlanetSports.Asia,11a6e3c0373c479b44c9fbbd10f09e0f5e0ffe31914c408599161c446969fd89,329,1,"Rp84,757",7,34,1,2,9,1,0,0,0,0,0,0
PlanetSports.Asia,9f0d52a63f05b51efe9159d12b3986e8a934acc11f80b3f28005e3aa0366e169,327,1,"Rp84,757",0,3,2,0,0,2,1,0,0,0,1,0
PlanetSports.Asia,8d725d891777c651fa30aeb175c7aaa2b72823149bd4146cf8cdc7343843e8bf,97,1,"Rp85,230",0,11,3,0,0,3,0,0,0,0,0,0
PlanetSports.Asia,0111b5dc9366a9ff0a8a8615629f8235a821de488577e642aec899b76378b807,99,1,"Rp85,230",0,22,5,0,0,5,1,0,0,0,0,0
